,year,title_ru,libretto_ru,lyrics_ru,comment_ru,genre_ru,title_am,libretto_am,lyrics_am,comment_am,genre_am,title_en,libretto_en,lyrics_en,comment_en,genre_en
1,1981,Кикос и Киракос,Александр Овсепян,,Детская опера на основе народных песен.,Опера,Կիկոս ու Կիրակոսը,Ալեկսանդր Հովսեփյան,,Մանկական օպերա ժողովրդական երգերի հիման վրա։,Օպերա,Kikos and Kirakos,Alexander Hovsepyan,,An opera for children based on folk songs.,Opera
2,1994,Христос,Давид Сакоян,,Либретто на основе четырех Евангелий.,Опера,Քրիստոս,Դավիթ Սաքոյան,,Շորս Ավետարանների հիման վրա։,Օպերա,Christ,David Sakoyan,,Libretto is based on the four Gospels,Opera
3,1996,Без заглавия,Давид Сакоян,,Либретто по пьесе А. Овсепяна,Опера-оратория,Անվերնագիր,Դավիթ Սաքոյան,,Լիբրետոն ըստ Ալ. Հովսեփյանի թափերգության,Օպերա-օրատորիա,Unnamed,David Sakoyan,,Libretto is based on a play by A. Hovsepyan,Opera-oratorio
4,1997,Рипсимэ,Давид Сакоян,,Либретто по Агафангелу,Опера,Հռիփսիմէ,Դավիթ Սաքոյան,,Լիբրետոն ըստ Ագաթանգեղոսի,Օպերա,Hripsime,David Sakoyan,,Libretto is based on Agathangelos,Opera
5,2008,Житие дураков,Седрак Ерканян,,Либретто по сказкам Ованнеса Туманяна,Камерная опера,Վարք հիմարաց,Սեդրակ Երկանյան,,Լիբրետոն ըստ Հովհաննես Թումանյանի հեքիաթների,Կամերային օպերա,Life of Fools,Sedrak Yerkanyan,,Libretto is based on tales by Hovhannes Tumanyan,Chamber opera
6,2012,У весельчака веселья не убудет,Седрак Ерканян,,Либретто по сказке Ованнеса Туманяна,Камерная опера,Քեֆ անողին քեֆ չի պակսիլ,Սեդրակ Երկանյան,,Լիբրետոն ըստ Հովհաննես Թումանյանի հեքիաթի,Կամերային օպերա,???,Sedrak Yerkanyan,,Libretto is based on a tale by Hovhannes Tumanyan,Chamber opera
7,1999,Рипсимэ,"Максим Мартиросян, Давид Сакоян",,Либретто по Агафангелу,Балет,Հռիփսիմէ,"Մաքսիմ Մարտիրոսյան, Դավիթ Սաքոյան",,Լիբրետոն ըստ Ագաթանգեղոսի,Բալետ,,"Maxim Martirosyan, David Sakoyan",,,Ballet
8,2013,Мудрые танцы,,,Без либретто,Балет,Իմաստուն պարեր,,,Ան լիբրետո,Բալետ,Wise Dances,,,Without libretto,Ballet
9,1997,Симфония №1,,,"На основе 32-го псалма. Симфонический оркестр, солисты и хор",Симфония,Սիմֆոնիա №1,,,"№32 Սաղմոսի հիման վրա
Սիմֆոնիկ նվագախումբ, մեչերգիչներ և երգչախումբ",Սիմֆոնիա,Symphony No. 1,,,"Based on Psalm 32. Symphony orchestra, soloists, choir",Symphony
10,2001,Симфония №2,,,Симфонический оркестр,Симфония,Սիմֆոնիա №2,,,Սիմֆոնիկ նվագախումբ,Սիմֆոնիա,Symphony No. 2,,,Symphony orchestra,Symphony
